20251014-1,381346
20251014-2,378359
20251014-3,361230
20251014-4,348363
20251014-5,286814
20251014-6,253603
20251014-7,233065
20251014-8,196581
20251014-9,189384
20251014-10,179367
20251014-11,174845
20251014-12,174796
20251014-13,174128
20251014-14,173633
20251014-15,169063
20251014-16,168607
20251014-17,168541
20251014-18,168525
20251014-19,166141
20251014-20,166009
20251014-21,165824
20251014-22,154771
20251014-23,154047
20251014-24,148745
20251014-25,146210
20251014-26,129595
20251014-27,124568
20251014-28,121458
20251014-29,121212
20251014-30,120194
20251014-31,110736
20251014-32,110592
20251014-33,107756
20251014-34,103692
20251014-35,100087
20251014-36,99375
20251014-37,94386
20251014-38,94053
20251014-39,91165
20251014-40,91114
20251014-41,90776
20251014-42,89548
20251014-43,89532
20251014-44,86133
20251014-45,85901
20251014-46,84231
20251014-47,83025
20251014-48,82010
20251014-49,79844
20251014-50,79804
20251014-51,79542
20251014-52,79437
20251014-53,78312
20251014-54,76540
20251014-55,76526
20251014-56,75159
20251014-57,75115
20251014-58,74967
20251014-59,74736
20251014-60,73047
20251014-61,70066
20251014-62,65376
20251014-63,64322
20251014-64,63987
20251014-65,63903
20251014-66,63717
20251014-67,63666
20251014-68,63613
20251014-69,63022
20251014-70,62741
20251014-71,62235
20251014-72,62069
20251014-73,61465
20251014-74,61225
20251014-75,59695
20251014-76,59685
20251014-77,58665
20251014-78,57436
20251014-79,56840
20251014-80,56706
20251014-81,55847
20251014-82,55639
20251014-83,55333
20251014-84,53519
20251014-85,52816
20251014-86,52478
20251014-87,52261
20251014-88,49929
20251014-89,48492
20251014-90,48094
20251014-91,47922
20251014-92,47909
20251014-93,47286
20251014-94,46853
20251014-95,46602
